temps = 203.50	sensor = 249	 temperature = 0.00	 relai = 1
temps = 204.00	sensor = 249	 temperature = 0.00	 relai = 1
temps = 204.50	sensor = 250	 temperature = 0.00	 relai = 1
temps = 205.00	sensor = 250	 temperature = 0.00	 relai = 1
temps = 205.50	sensor = 250	 temperature = 0.00	 relai = 1
temps = 206.00	sensor = 250	 temperature = 0.00	 relai = 1
temps = 206.50	sensor = 251	 temperature = 0.00	 relai = 1
temps = 207.00	sensor = 251	 temperature = 0.00	 relai = 1
temps = 207.50	sensor = 251	 temperature = 0.00	 relai = 1
temps = 208.00	sensor = 251	 temperature = 0.00	 relai = 1
temps = 208.50	sensor = 251	 temperature = 0.00	 relai = 1
temps = 209.00	sensor = 252	 temperature = 0.00	 relai = 1
temps = 209.50	sensor = 252	 temperature = 0.00	 relai = 1
temps = 210.00	sensor = 252	 temperature = 0.00	 relai = 1
temps = 210.50	sensor = 253	 temperature = 0.00	 relai = 1
temps = 211.00	sensor = 253	 temperature = 0.00	 relai = 1
temps = 211.50	sensor = 253	 temperature = 0.00	 relai = 1
temps = 212.00	sensor = 253	 temperature = 0.00	 relai = 1
temps = 212.50	sensor = 253	 temperature = 0.00	 relai = 1
temps = 213.00	sensor = 254	 temperature = 0.00	 relai = 1
temps = 213.50	sensor = 254	 temperature = 0.00	 relai = 1
temps = 214.00	sensor = 254	 temperature = 0.00	 relai = 1
temps = 214.50	sensor = 254	 temperature = 0.00	 relai = 1
temps = 215.00	sensor = 254	 temperature = 0.00	 relai = 1
temps = 215.50	sensor = 255	 temperature = 0.00	 relai = 1
temps = 216.00	sensor = 255	 temperature = 0.00	 relai = 1
temps = 216.50	sensor = 255	 temperature = 0.00	 relai = 1
temps = 217.00	sensor = 255	 temperature = 0.00	 relai = 1
temps = 217.50	sensor = 256	 temperature = 0.00	 relai = 1
temps = 218.00	sensor = 256	 temperature = 0.00	 relai = 1
temps = 218.50	sensor = 256	 temperature = 0.00	 relai = 1
temps = 219.00	sensor = 256	 temperature = 0.00	 relai = 1
